iter	Passed	Remaining
399	38679	58019
400	38760	57899
401	38861	57809
402	38965	57722
403	39044	57600
404	39133	57492
405	39224	57387
406	39303	57265
407	39398	57166
408	39481	57050
409	39565	56936
410	39672	56853
411	39760	56745
412	39867	56663
413	39959	56561
414	40057	56466
415	40155	56372
416	40265	56294
417	40366	56204
418	40443	56080
419	40537	55980
420	40627	55875
421	40722	55775
422	40830	55695
423	40921	55591
424	41029	55510
425	41137	55429
426	41222	55317
427	41311	55211
428	41424	55135
429	41514	55030
430	41603	54924
431	41683	54806
432	41783	54714
433	41878	54616
434	41975	54520
435	42083	54437
436	42178	54339
437	42265	54230
438	42362	54135
439	42452	54030
440	42544	53928
441	42626	53813
442	42727	53722
443	42804	53602
444	42894	53498
445	42965	53370
446	43060	53271
447	43136	53150
448	43241	53064
449	43342	52974
450	43429	52865
451	43542	52790
452	43630	52684
453	43708	52565
454	43805	52469
455	43927	52404
456	44030	52316
457	44124	52217
458	44223	52124
459	44318	52025
460	44404	51917
461	44521	51845
462	44599	51727
463	44694	51629
464	44773	51514
465	44849	51394
466	44954	51307
467	45037	51196
468	45134	51100
469	45237	51012
470	45352	50937
471	45461	50854
472	45534	50733
473	45614	50618
474	45705	50516
475	45823	50444
476	45906	50333
477	46002	50236
478	46090	50131
479	46175	50023
480	46260	49914
481	46340	49801
482	46436	49705
483	46528	49604
484	46634	49518
485	46715	49407
486	46792	49290
487	46877	49182
488	46965	49078
489	47050	48970
490	47141	48869
491	47227	48763
492	47315	48659
493	47416	48568
494	47504	48464
495	47592	48360
496	47663	48239
497	47760	48143
498	47857	48049
499	47950	47950
500	48047	47855
501	48143	47759
502	48253	47678
503	48362	47594
504	48458	47499
505	48552	47400
506	48652	47308
507	48748	47213
508	48858	47130
509	48947	47028
510	49045	46934
511	49161	46857
512	49362	46860
513	49440	46747
514	49552	46666
515	49661	46581
516	49744	46472
517	49844	46380
518	49927	46271
519	50023	46175
520	50114	46074
521	50208	45976
522	50305	45881
523	50402	45785
524	50489	45680
525	50593	45591
526	50694	45500
527	50797	45409
528	50903	45322
529	50997	45223
530	51096	45130
531	51205	45045
532	51291	44940
533	51385	44842
534	51490	44753
535	51585	44656
536	51659	44540
537	51730	44422
538	51837	44335
539	51943	44248
540	52044	44155
541	52138	44057
542	52235	43962
543	52337	43871
544	52432	43774
545	52527	43676
546	52616	43574
547	52703	43470
548	52799	43374
549	52882	43267
550	52962	43157
551	53044	43050
552	53155	42966
553	53262	42879
554	53357	42782
555	53475	42703
556	53580	42614
557	53686	42526
558	53796	42440
559	53900	42350
560	53982	42242
561	54058	42131
562	54149	42030
563	54242	41931
564	54343	41839
565	54418	41727
566	54526	41639
567	54614	41537
568	54685	41422
569	54777	41323
570	54868	41223
571	54953	41119
572	55037	41014
573	55132	40917
574	55217	40812
575	55307	40712
576	55392	40608
577	55504	40523
578	55588	40419
579	55678	40319
580	55763	40214
581	55851	40113
582	55945	40016
583	56040	39919
584	56123	39814
585	56216	39716
586	56305	39615
587	56391	39512
588	56496	39422
589	56609	39338
590	56705	39242
591	56804	39148
592	56915	39063
593	57015	38970
594	57119	38879
595	57223	38788
596	57324	38696
597	57405	38590
598	57514	38503
599	57620	38413
600	57714	38316
601	57794	38209
602	57894	38115
603	57977	38011
604	58065	37910
605	58166	37817
606	58260	37720
607	58339	37613
608	58420	37507
609	58502	37403
610	58572	37290
611	58657	37188
612	58741	37084
613	58839	36990
614	58927	36889
615	59026	36795
616	59120	36698
617	59216	36603
618	59311	36506
619	59423	36421
620	59498	36312
621	59584	36210
622	59680	36114
623	59754	36006
624	59853	35912
625	59941	35811
626	60040	35717
627	60143	35626
628	60242	35532
629	60346	35441
630	60442	35346
631	60535	35248
632	60645	35160
633	60745	35067
634	60871	34989
635	60962	34890
636	61036	34782
637	61136	34688
638	61228	34590
639	61337	34502
640	61431	34405
641	61519	34305
642	61593	34197
643	61676	34094
644	61769	33997
645	61872	33905
646	61978	33814
647	62060	33711
648	62139	33606
649	62231	33509
650	62318	33408
651	62399	33305
652	62474	33198
653	62575	33105
654	62669	33009
655	62751	32906
656	62862	32818
657	62954	32720
658	63054	32627
659	63162	32538
660	63249	32438
661	63344	32342
662	63450	32251
663	63527	32146
664	63609	32043
665	63707	31949
666	63799	31852
667	63914	31765
668	64023	31676
669	64096	31569
670	64218	31487
671	64318	31393
672	64417	31299
673	64504	31199
674	64591	31099
675	64679	31000
676	64768	30901
677	64853	30800
678	64955	30707
679	65043	30608
680	65125	30506
681	65228	30414
682	65307	30310
683	65397	30212
684	65492	30116
685	65585	30020
686	65668	29919
687	65756	29819
688	65878	29736
689	65949	29629
690	66051	29536
691	66155	29444
692	66242	29345
693	66336	29249
694	66438	29156
695	66541	29064
696	66629	28965
697	66703	28860
698	66795	28763
699	66881	28663
700	66975	28567
701	67079	28475
702	67161	28373
703	67260	28280
704	67344	28179
705	67428	28079
706	67532	27987
707	67614	27886
708	67689	27782
709	67771	27681
710	67871	27587
711	67951	27486
712	68044	27389
713	68122	27287
714	68209	27188
715	68285	27085
716	68383	26991
717	68483	26897
718	68588	26805
719	68675	26707
720	68779	26615
721	68895	26527
722	68995	26433
723	69106	26344
724	69209	26251
725	69305	26156
726	69388	26056
727	69478	25958
728	69582	25866
729	69704	25780
730	69829	25696
731	69939	25606
732	70034	25510
733	70142	25419
734	70258	25331
735	70329	25227
736	70440	25136
737	70517	25034
738	70609	24937
739	70695	24838
740	70802	24747
741	70895	24651
742	70979	24551
743	71069	24454
744	71151	24353
745	71244	24257
746	71342	24162
747	71416	24059
748	71516	23966
749	71596	23865
750	71677	23765
751	71783	23673
752	71880	23578
753	71965	23479
754	72064	23385
755	72156	23288
756	72273	23199
757	72395	23113
758	72477	23013
759	72566	22915
760	72645	22814
761	72739	22719
762	72835	22623
763	72916	22523
764	73010	22428
765	73096	22329
766	73200	22237
767	73306	22144
768	73415	22053
769	73499	21954
770	73596	21859
771	73682	21761
772	73776	21665
773	73889	21575
774	73955	21470
775	74032	21370
776	74113	21270
777	74218	21178
778	74327	21086
779	74421	20990
780	74507	20892
781	74603	20797
782	74703	20703
783	74810	20610
784	74908	20516
